GPCUSTID,BBDDate,BBDate,BBAmount,BBTransDesc
UIALINDON      ,1-Oct-21,1-Oct-21,30,Rasband549 10 - YEAR           
UIALINDON      ,1-Nov-21,1-Nov-21,30.38,Rasband549 10 - YEAR           
UIAMIDVALE     ,1-Jun-17,1-Jun-17,25,Schofield877 20 - YEAR         
UIAMIDVALE     ,1-Jul-17,1-Jul-17,25,Schofield877 20 - YEAR         
UIAMIDVALE     ,1-Aug-17,1-Aug-17,25,Schofield877 20 - YEAR         
OSWALD52050    ,26-Aug-15,1-Aug-15,30,EPIV00000052308                
BABINCHAK53136 ,26-Aug-15,1-Aug-15,30,EPIV00000052319                
SMITH52393     ,26-Apr-15,1-Apr-15,30,EPIV00000043011                
NEWBURY5143    ,26-Apr-15,1-Apr-15,30,EPIV00000043239                
JONES52201     ,26-Apr-15,1-Apr-15,30,EPIV00000043330                
WARD1799       ,25-Mar-13,1-Mar-13,30,Contract UIAL1145BB            
ZAPPITELL2477  ,25-Mar-13,1-Mar-13,25,Contract U2U16                 
DAWSON4662     ,25-Mar-13,1-Mar-13,27.5,Contract UIAL2700JC            
FIELDS2057     ,25-Mar-13,1-Mar-13,25,Contract UIAR9736              
FLYNN4763      ,25-Mar-13,1-Mar-13,25,Contract UIA-298957-           
GOODFELLO2088  ,25-Mar-13,1-Mar-13,25,Contract UIAR5958              
KAGIE2170      ,25-Mar-13,1-Mar-13,25,Contract UIAR2074              
LACAYO3566     ,31-Mar-13,1-Mar-13,25,Contract UIAR3566              
UIAMURRAY      ,1-Mar-13,1-Mar-13,839.51,Contract UIA02024              
STALLINGS2379  ,25-Mar-13,1-Mar-13,25,Contract UIAR1957              
UIAMURRAY      ,1-Jun-20,1-Jun-20,25,Simpson441 20 - YEAR           
UIAMURRAY      ,1-Jul-20,1-Jul-20,25,Simpson441 20 - YEAR           
UIAMURRAY      ,1-Aug-20,1-Aug-20,25,Simpson441 20 - YEAR           
UIAMURRAY      ,1-Sep-20,1-Sep-20,25,Simpson441 20 - YEAR           
UIAMURRAY      ,1-Oct-20,1-Oct-20,25,Simpson441 20 - YEAR           
UIAMURRAY      ,1-Nov-20,1-Nov-20,25,Simpson441 20 - YEAR           
UIAMURRAY      ,1-Dec-20,1-Dec-20,25,Simpson441 20 - YEAR           
UIAMURRAY      ,1-Jan-21,1-Jan-21,25,Simpson441 20 - YEAR           
UIAMURRAY      ,1-Feb-21,1-Feb-21,25,Simpson441 20 - YEAR           
UIAMURRAY      ,1-Mar-21,1-Mar-21,25,Simpson441 20 - YEAR           
UIAMURRAY      ,1-Apr-21,1-Apr-21,25,Simpson441 20 - YEAR           
UIAMURRAY      ,1-May-21,1-May-21,25,Simpson441 20 - YEAR           
UIAMURRAY      ,1-Jun-21,1-Jun-21,25,Simpson441 20 - YEAR           
UIAMURRAY      ,1-Jul-21,1-Jul-21,25,Simpson441 20 - YEAR           
UIAMURRAY      ,1-Aug-21,1-Aug-21,25,Simpson441 20 - YEAR           
UIAMURRAY      ,1-Sep-21,1-Sep-21,25,Simpson441 20 - YEAR           
UIAMURRAY      ,1-Oct-21,1-Oct-21,25,Simpson441 20 - YEAR           
UIAMURRAY      ,1-Nov-21,1-Nov-21,25,Simpson441 20 - YEAR           
UIAMURRAY      ,1-Dec-21,1-Dec-21,25,Simpson441 20 - YEAR           
UIAMURRAY      ,1-Jan-22,1-Jan-22,25,Simpson441 20 - YEAR           
UIAMURRAY      ,1-Feb-22,1-Feb-22,25,Simpson441 20 - YEAR           
UIAMURRAY      ,1-Mar-22,1-Mar-22,25,Simpson441 20 - YEAR           
UIAMURRAY      ,1-Apr-22,1-Apr-22,25,Simpson441 20 - YEAR           
UIAMURRAY      ,1-May-22,1-May-22,25,Simpson441 20 - YEAR           
UIAMURRAY      ,1-Jun-22,1-Jun-22,25,Simpson441 20 - YEAR           
UIAMURRAY      ,1-Jul-22,1-Jul-22,25,Simpson441 20 - YEAR           
UIAMURRAY      ,1-Aug-22,1-Aug-22,25,Simpson441 20 - YEAR           
UIAMURRAY      ,1-Sep-22,1-Sep-22,25,Simpson441 20 - YEAR           
UIAMURRAY      ,1-Oct-22,1-Oct-22,25,Simpson441 20 - YEAR           
UIAMURRAY      ,1-Nov-22,1-Nov-22,25,Simpson441 20 - YEAR           
UIAMURRAY      ,1-Dec-22,1-Dec-22,25,Simpson441 20 - YEAR           
UIAMURRAY      ,1-Jan-23,1-Jan-23,25,Simpson441 20 - YEAR           
UIAMURRAY      ,1-Feb-23,1-Feb-23,25,Simpson441 20 - YEAR           
UIAMURRAY      ,1-Mar-23,1-Mar-23,25,Simpson441 20 - YEAR           
UIAMURRAY      ,1-Apr-23,1-Apr-23,25,Simpson441 20 - YEAR           
UIAMURRAY      ,1-May-23,1-May-23,25,Simpson441 20 - YEAR           
UIAMURRAY      ,1-Jun-23,1-Jun-23,25,Simpson441 20 - YEAR           
UIAMURRAY      ,1-Jul-23,1-Jul-23,25,Simpson441 20 - YEAR           
UIAMURRAY      ,1-Aug-23,1-Aug-23,25,Simpson441 20 - YEAR           
UIAMURRAY      ,1-Sep-23,1-Sep-23,25,Simpson441 20 - YEAR           
UIAMURRAY      ,1-Oct-23,1-Oct-23,25,Simpson441 20 - YEAR           
