GPCUSTID,BBDDate,BBDate,BBAmount,BBTransDesc
FORD55209      ,1-Jul-2017,26-Jul-2017,30.00,EPIV00000149100      
FORD60479      ,1-Jul-2017,26-Jul-2017,31.50,EPIV00000153262      
FORDHAM59253   ,1-Jul-2017,26-Jul-2017,30.00,EPIV00000147523      
FORDHAM59253   ,1-Jun-2017,26-Jun-2017,30.00,EPIV00000141661      
FOREMAN5481    ,1-Jul-2017,25-Jul-2017,30.00,EPIV00000150226      
FOREN58378     ,1-Jul-2017,26-Jul-2017,30.00,EPIV00000150271      
FORGACH53806   ,1-Jul-2017,26-Jul-2017,30.00,EPIV00000149755      
FORMAN56768    ,1-Jun-2017,26-Jun-2017,31.50,EPIV00000141782      
FORMAN56768    ,1-Jul-2017,26-Jul-2017,31.50,EPIV00000147646      
FORREST54941   ,1-Jul-2017,26-Jul-2017,30.00,EPIV00000149273      
FORS54616      ,1-Jul-2017,26-Jul-2017,30.00,EPIV00000150432      
FORSGREN52439  ,15-Feb-2017,1-Jan-1900,-30.00,PYMNT00033447        
FORSGREN52439  ,10-Jan-2017,1-Jan-1900,-30.00,PYMNT00032354        
FORSGREN52439  ,16-Jun-2017,1-Jan-1900,-30.00,PYMNT00037143        
FORSGREN52439  ,5-Mar-2015,1-Jan-1900,-30.00,WEBPMT0000027484     
FORSGREN52439  ,20-Apr-2017,1-Jan-1900,-30.00,PYMNT00035500        
FORSGREN52439  ,16-Mar-2017,1-Jan-1900,-30.00,PYMNT00034371        
FORSGREN52439  ,11-Jul-2017,1-Jan-1900,-30.00,PYMNT00037895        
FORSGREN54600  ,1-Jul-2017,26-Jul-2017,30.00,EPIV00000147848      
FORSYTH4223    ,1-Jul-2017,25-Jul-2017,30.00,EPIV00000148433      
FORTENBER4521  ,1-Jul-2017,25-Jul-2017,30.00,EPIV00000152970      
FOSTER1633     ,1-Feb-2013,25-Feb-2013,5.00,SCHED00009132        
FOSTER1633     ,1-Jul-2013,25-Jul-2013,30.00,EPIV00000005048      
FOSTER1633     ,1-Jun-2013,25-Jun-2013,30.00,EPIV00000003581      
FOSTER1633     ,1-Aug-2013,25-Aug-2013,30.00,EPIV00000006538      
FOSTER1633     ,1-May-2013,25-May-2013,30.00,EPIV00000002149      
FOSTER1633     ,1-Mar-2013,25-Mar-2013,30.00,SCHED00010269        
FOSTER1633     ,1-Apr-2013,25-Apr-2013,30.00,EPIV00000000756      
FOSTER2064     ,1-Mar-2017,26-Mar-2017,30.00,EPIV00000128326      
FOSTER2064     ,1-Feb-2017,26-Feb-2017,30.00,EPIV00000123036      
FOSTER58774    ,1-Jul-2017,26-Jul-2017,31.50,EPIV00000148208      
FOUST56008     ,1-Jul-2017,26-Jul-2017,30.00,EPIV00000150958      
FOWERS57028    ,1-Jun-2017,26-Jun-2017,30.00,EPIV00000146249      
FOWERS57028    ,1-Jul-2017,26-Jul-2017,30.00,EPIV00000152273      
FOWLER55821    ,20-Apr-2017,1-Jan-1900,-50.00,PYMNT00035385        
FOWLER55821    ,20-Jun-2017,1-Jan-1900,-50.00,PYMNT00037258        
FOWLER55821    ,19-May-2017,1-Jan-1900,-50.00,PYMNT00036402        
FOWLER55821    ,20-Mar-2017,1-Jan-1900,-30.00,PYMNT00034574        
FOWLER56495    ,1-Jul-2017,26-Jul-2017,30.00,EPIV00000150293      
FOWLER60336    ,1-Jul-2017,26-Jul-2017,30.00,EPIV00000148305      
FOWLKS60837    ,1-Jul-2017,26-Jul-2017,30.00,EPIV00000150932      
FOWLKS60837    ,1-Jun-2017,26-Jun-2017,30.00,EPIV00000144950      
FOWLKS61086    ,1-Jun-2017,26-Jun-2017,30.00,EPIV00000142045      
FOWLKS61086    ,1-Jul-2017,26-Jul-2017,30.00,EPIV00000147918      
